Dist,Type,SubType,Xeq,Yeq,Xgal,Ygal,title,source,date,link,headline,img
"LU","Nebula","SNR",-81.264716,-69.6413275,-280.303257,-32.782640,"Distant Supernova Remnant Imaged by Chandra's High Resolution Camera","N132D",1999-09-01,"http://chandra.harvard.edu/photo/1999/0050/","The remnant of an exploded star in the Large Magellanic Cloud.","http://chandra.harvard.edu/photo/1999/0050/0050_xray_250.jpg"
"MW","Nebula","SNR",-83.629545,22.0155289,-184.554813,-5.786579,"Chandra Discovers X-Ray Ring Around Cosmic Powerhouse in Crab Nebula","Crab Nebula",1999-09-28,"http://chandra.harvard.edu/photo/1999/0052/","A supernova remnant and pulsar in the constellation of Taurus.","http://chandra.harvard.edu/photo/1999/0052/0052_xray_250.jpg"
"LU","Galaxy","AGN",-98.938865,-75.2710885,-286.367990,-27.159647,"NASA Unveils First Images From Chandra X-Ray Observatory","PKS 0637-72",1999-08-26,"http://chandra.harvard.edu/photo/1999/0064/","A luminous quasar in the constellation Mensa.","http://chandra.harvard.edu/photo/1999/0064/0064_xray_250.jpg"
"LU","Galaxy","AGN",-139.523116,-12.0953871,-242.925115,25.092564,"Chandra Ploughs Up a Snake In Hydra A","Hydra A",1999-12-09,"http://chandra.harvard.edu/photo/1999/0087/","A cluster of galaxies in the constellation Hydra.","http://chandra.harvard.edu/photo/1999/0087/0087_xray_250.jpg"
"LU","Galaxy","AGN",-201.370575,-43.0112324,-309.521294,19.424514,"Extended X-Ray Jet in Nearby Galaxy Reveals Energy Source","Centaurus A",1999-10-25,"http://chandra.harvard.edu/photo/1999/0157/","Centaurus A (NGC 5128) is a radio galaxy in the constellation Centaurus; 10 million light years from Earth.","http://chandra.harvard.edu/photo/1999/0157/0157_xray_250.jpg"
"EU","Galaxy","AGN",-212.835086,52.2029681,-97.516094,60.802222,"Cosmic Payback: Giant Galaxy Reacts to Being Dumped On","3C295",1999-11-16,"http://chandra.harvard.edu/photo/1999/0166/","A large galaxy in the center of a cluster of galaxies located in the constellation Bootes.","http://chandra.harvard.edu/photo/1999/0166/0166_xray_250.jpg"
"MW","Star","SN",-350.864297,58.8140448,-111.741409,-2.132940,"First Light","Cassiopeia A",1999-08-26,"http://chandra.harvard.edu/photo/1999/0237/","The remnant of a star that exploded about 300 years ago in the constellation Cassiopeia.","http://chandra.harvard.edu/photo/1999/0237/0237_xray_250.jpg"
"MW","Star","SN",-350.868697,58.8149642,-111.743866,-2.132833,"Chandra Maps Vital Elements in Supernovas","Cassiopeia A",1999-12-21,"http://chandra.harvard.edu/photo/1999/casajph/","A supernova remnant in the constellation Cassiopeia.","http://chandra.harvard.edu/photo/1999/casajph/casa_250.jpg"
"LU","Star","SN",-70.367469,-2.8580595,-199.559402,-30.015027,"The End of Days - Chandra Catches X-ray Glow From Supernova","SN1999em",1999-12-14,"http://chandra.harvard.edu/photo/1999/sn1999em/","A supernova detected in a spiral galaxy 25 million light years from Earth.","http://chandra.harvard.edu/photo/1999/sn1999em/1999em_250.jpg"
"LU","Star","NS",-85.041044,-69.3326124,-279.718456,-31.517470,"Supernova Portrait Gallery","PSR 0540-69",1999-09-20,"http://chandra.harvard.edu/photo/1999/snrg/","A pulsar and supernova remnant in the Large Magellanic Cloud.","http://chandra.harvard.edu/photo/1999/snrg/pulsarV2BBB_250.jpg"
